"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1558397_at",-1.884348,7.97037366666667,-12.5383120479448,1.43413449808417e-23,4.45518770924729e-21,43.0440065422589
"226397_s_at",-1.342703,8.42229966666667,-12.524910340058,1.54311297445627e-23,4.76664982363822e-21,42.9717945674158
"230250_at",-2.53984383333333,9.72817491666667,-12.5221844092223,1.56627529320415e-23,4.81101694696274e-21,42.9571050959821
"215380_s_at",1.1696895,10.67409875,12.5015931902828,1.75287429219881e-23,5.35410066625531e-21,42.8461277962618
"217628_at",-2.31135433333333,6.720214,-12.4879379456465,1.88874834676e-23,5.73707310328349e-21,42.7725172041378
"202747_s_at",-1.51531466666667,10.1452421666667,-12.4740434585542,2.03784267466711e-23,6.15574852140466e-21,42.6976047215382
"228770_at",-1.64063266666667,7.43583216666667,-12.4694509178263,2.08967205453737e-23,6.27762744955113e-21,42.6728412239173
"238151_at",-1.47748666666667,7.38191133333333,-12.4553577253616,2.25711452138533e-23,6.74359215610617e-21,42.5968408180432
"208056_s_at",-1.15608416666667,6.64497691666667,-12.4529809719113,2.28664950747626e-23,6.75797631466295e-21,42.5840224587632
"224448_s_at",1.22481233333333,9.4409755,12.4459440476015,2.37638488873459e-23,6.98542170922387e-21,42.5460686839961
"228618_at",-1.53081816666667,7.17447875,-12.4441489340136,2.3998358183265e-23,7.01663226561505e-21,42.536386210669
"226456_at",1.53165333333333,7.34490933333333,12.4366970281323,2.49969107739982e-23,7.23728433126591e-21,42.4961900105039
"236081_at",-1.05709083333333,4.64210225,-12.4333962597482,2.54524168145099e-23,7.32426783859646e-21,42.4783842844796
"239952_at",-1.404202,6.45222233333333,-12.4160725426989,2.79830592670643e-23,8.0103338504018e-21,42.384921812722
"207195_at",-1.35273383333333,6.01257108333333,-12.4140092506387,2.83007988760614e-23,8.05909467994093e-21,42.3737889934832
"203812_at",-1.16906566666667,8.3048095,-12.4032113950389,3.00235522172878e-23,8.50537677450886e-21,42.3155231781034
"229529_at",-1.64581,7.8153905,-12.3697278837721,3.60630012360433e-23,1.01636319205189e-20,42.1347990398618
"229385_s_at",-1.37215483333333,6.07711041666667,-12.3684506531531,3.63160642398882e-23,1.0168563278026e-20,42.1279039603532
"226627_at",-1.07079633333333,7.39014916666667,-12.3677659316958,3.64524627799377e-23,1.0168563278026e-20,42.1242074778774
"219091_s_at",-1.763683,8.48984183333333,-12.3425552586923,4.18485062255206e-23,1.16145536948241e-20,41.9880875707229
